"TOA5","73410","CR1000X","73410","CR1000X.8.4.0","CPU:Romeral_10032026.CR1X","36289","FTPMonitor"
"TIMESTAMP","RECORD","Batt_volt_Min","FTPResultRomeral","FTPResultRomeral_Raw","FTPResultRain"
"TS","RN","Volts","","",""
"","","Min","Smp","Smp","Smp"
"2026-04-23 12:10:00",173,13.57,-1,-1,-2
"2026-04-23 18:10:00",174,13.59,0,0,-2
"2026-04-24 00:10:00",175,12.83,-1,-1,-1
"2026-04-24 06:10:00",176,12.63,-1,-1,-2
"2026-04-24 12:10:00",177,13.57,-1,-1,-2
"2026-04-24 18:10:00",178,13.58,-1,-1,-2
"2026-04-25 00:10:00",179,12.82,-1,-1,-1
"2026-04-25 06:10:00",180,12.62,-1,-1,-2
"2026-04-25 12:10:00",181,13.58,-1,-1,-2
"2026-04-25 18:10:00",182,13.59,-1,-1,-2
"2026-04-26 00:10:00",183,12.82,-1,-1,-1
"2026-04-26 06:10:00",184,12.62,-1,-1,-2
"2026-04-26 12:10:00",185,13.57,-1,-1,-2
"2026-04-26 18:10:00",186,13.57,-1,-1,-2
"2026-04-27 00:10:00",187,12.76,-1,-1,-1
"2026-04-27 06:10:00",188,12.59,-1,-1,-2
"2026-04-27 12:10:00",189,13.54,-1,-1,-2
"2026-04-27 18:10:00",190,13.58,-1,-1,-2
"2026-04-28 00:10:00",191,12.79,-1,-1,-1
"2026-04-28 06:10:00",192,12.57,-1,-1,-2
"2026-04-28 12:10:00",193,13.58,-1,-1,-2
"2026-04-28 18:10:00",194,13.58,-1,-1,-2
"2026-04-29 00:10:00",195,12.83,-1,-1,-1
"2026-04-29 06:10:00",196,12.64,-1,-1,-2
"2026-04-29 12:10:00",197,13.59,-1,-1,-2
"2026-04-29 18:10:00",198,13.58,-1,-1,-2
"2026-04-30 00:10:00",199,12.77,-1,-1,-1
"2026-04-30 06:10:00",200,12.63,-1,-1,-2
"2026-04-30 12:10:00",201,13.99,-1,-1,-2
"2026-04-30 18:10:00",202,13.58,-1,-1,-2
"2026-05-01 00:10:00",203,12.85,-1,-1,-1
"2026-05-01 06:10:00",204,12.72,-1,-1,-2
"2026-05-01 12:10:00",205,13.59,-1,-1,-2
"2026-05-01 18:10:00",206,13.58,-1,-1,-2
"2026-05-02 00:10:00",207,12.85,-1,-1,-1
"2026-05-02 06:10:00",208,12.65,-1,-1,-2
"2026-05-02 12:10:00",209,13.58,-1,-1,-2
"2026-05-02 18:10:00",210,13.59,-1,-1,-2
"2026-05-03 00:10:00",211,12.82,-1,-1,-1
"2026-05-03 06:10:00",212,12.65,-1,-1,-2
"2026-05-03 12:10:00",213,13.57,-1,-1,-2
"2026-05-03 18:10:00",214,13.57,-1,-1,-2
"2026-05-04 00:10:00",215,12.77,-1,-1,-1
"2026-05-04 06:10:00",216,12.62,-1,-1,-2
"2026-05-04 12:10:00",217,13.56,-1,-1,-2
"2026-05-04 18:10:00",218,13.58,0,0,-2
"2026-05-05 00:10:00",219,12.77,0,0,0
"2026-05-05 06:10:00",220,12.61,0,0,0
"2026-05-05 12:10:00",221,13.57,0,0,0
"2026-05-05 18:10:00",222,13.46,0,0,0
"2026-05-06 00:10:00",223,12.84,0,0,0
"2026-05-06 06:10:00",224,12.67,0,0,0
"2026-05-06 12:10:00",225,13.58,0,0,0
"2026-05-06 18:10:00",226,13.2,0,0,0
"2026-05-07 00:10:00",227,12.85,-1,-1,-1
"2026-05-07 06:10:00",228,12.71,-1,-1,-2
"2026-05-07 12:10:00",229,13.58,-1,-1,-2
"2026-05-07 18:10:00",230,13.57,-1,-1,-2
"2026-05-08 00:10:00",231,12.82,-1,-1,-1
"2026-05-08 06:10:00",232,12.63,-1,-1,-2
"2026-05-08 12:10:00",233,13.59,-1,-1,-2
"2026-05-08 18:10:00",234,13.59,-1,-1,-2
"2026-05-09 00:10:00",235,12.83,-1,-1,-1
